"id_turma";"codigo_turma";"id_docente_interno";"id_docente_externo";"observacao";"id_componente_curricular";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes";
"57602445";"01";"5755233";"";"";"63499";"LATO SENSU";"";"Auditório do DEF e LabLUD do DEF da UFRN";"2017";"2";"2017-09-02";"2017-09-03";"17M2345  1T345 7T3456";"";"95";"REGULAR";"f";"2017-10-30 16:56:59.858";"f";"";"15";"CONSOLIDADA";"";"Presencial";
"57602445";"01";"";"120983811";"";"63499";"LATO SENSU";"";"Auditório do DEF e LabLUD do DEF da UFRN";"2017";"2";"2017-09-02";"2017-09-03";"17M2345  1T345 7T3456";"";"95";"REGULAR";"f";"2017-10-30 16:56:59.858";"f";"";"15";"CONSOLIDADA";"";"Presencial";
"57602446";"01";"5757053";"";"";"63503";"LATO SENSU";"";"Auditório do DEF da UFRN";"2017";"2";"2017-08-05";"2017-08-06";"17M2345  1T345 7T3456";"";"95";"REGULAR";"f";"2017-11-13 13:37:22.286";"f";"";"15";"CONSOLIDADA";"";"Presencial";
"57602447";"01";"5752677";"";"";"63327";"LATO SENSU";"";"Auditório do DEF e Sala de danças do DAD da UFRN";"2017";"2";"2017-11-04";"2017-11-05";"17M2345  1T345 7T3456";"";"95";"REGULAR";"f";"2018-08-28 09:51:04.942";"f";"";"0";"CONSOLIDADA";"";"Presencial";
"57602447";"01";"5755233";"";"";"63327";"LATO SENSU";"";"Auditório do DEF e Sala de danças do DAD da UFRN";"2017";"2";"2017-11-04";"2017-11-05";"17M2345  1T345 7T3456";"";"95";"REGULAR";"f";"2018-08-28 09:51:04.942";"f";"";"0";"CONSOLIDADA";"";"Presencial";
"57602448";"01";"5753094";"";"";"63320";"LATO SENSU";"";"Auditório do DEF da UFRN";"2017";"2";"2017-12-02";"2017-12-10";"17M2345  1T345 7T3456";"";"95";"REGULAR";"f";"2018-06-12 23:02:29.694";"f";"";"30";"CONSOLIDADA";"";"Presencial";
"57602450";"01";"";"124613183";"";"63505";"LATO SENSU";"";"Auditório do DEF da UFRN";"2017";"2";"2017-07-13";"2017-07-14";"6M2345  6T3456  5N1234 6N123";"";"90";"REGULAR";"f";"2017-10-30 17:32:07.659";"f";"";"15";"CONSOLIDADA";"";"Presencial";
"57602450";"01";"5755233";"";"";"63505";"LATO SENSU";"";"Auditório do DEF da UFRN";"2017";"2";"2017-07-13";"2017-07-14";"6M2345  6T3456  5N1234 6N123";"";"90";"REGULAR";"f";"2017-10-30 17:32:07.659";"f";"";"15";"CONSOLIDADA";"";"Presencial";
"57602451";"01";"";"125052419";"";"63326";"LATO SENSU";"";"Auditório do DEF e Sala de danças do DAD da UFRN";"2017";"2";"2017-07-15";"2017-07-16";"17M2345  1T345 7T3456";"";"95";"REGULAR";"f";"2017-10-30 17:28:01.129";"f";"";"15";"CONSOLIDADA";"";"Presencial";
"57602451";"01";"5755233";"";"";"63326";"LATO SENSU";"";"Auditório do DEF e Sala de danças do DAD da UFRN";"2017";"2";"2017-07-15";"2017-07-16";"17M2345  1T345 7T3456";"";"95";"REGULAR";"f";"2017-10-30 17:28:01.129";"f";"";"15";"CONSOLIDADA";"";"Presencial";
