,id_componente,codigo,nome,unidade_responsavel,id_curriculo,tipo_vinculo_componente
0,20029,DCA0414,INTRODUCAO A ROBOTICA,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO,115802434,OPTATIVO
1,20029,DCA0414,INTRODUCAO A ROBOTICA,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO,89059693,OPTATIVO
2,20030,DCA0441,TOPICOS ESPECIAIS EM ROBOTICA,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO,89059693,OPTATIVO
3,20033,FIS0313,ONDAS E FISICA MODERNA,DEPARTAMENTO DE FÍSICA TEÓRICA E EXPERIMENTAL,101669220,OPTATIVO
4,20033,FIS0313,ONDAS E FISICA MODERNA,DEPARTAMENTO DE FÍSICA TEÓRICA E EXPERIMENTAL,101669382,OPTATIVO
5,20033,FIS0313,ONDAS E FISICA MODERNA,DEPARTAMENTO DE FÍSICA TEÓRICA E EXPERIMENTAL,101668583,OPTATIVO
6,20033,FIS0313,ONDAS E FISICA MODERNA,DEPARTAMENTO DE FÍSICA TEÓRICA E EXPERIMENTAL,101658777,OPTATIVO
7,20033,FIS0313,ONDAS E FISICA MODERNA,DEPARTAMENTO DE FÍSICA TEÓRICA E EXPERIMENTAL,102200805,OPTATIVO
8,20033,FIS0313,ONDAS E FISICA MODERNA,DEPARTAMENTO DE FÍSICA TEÓRICA E EXPERIMENTAL,105755388,OPTATIVO
9,20033,FIS0313,ONDAS E FISICA MODERNA,DEPARTAMENTO DE FÍSICA TEÓRICA E EXPERIMENTAL,101659860,OPTATIVO
10,21074,DCA0448,SISTEMAS PARALELOS E DISTRIBUIDOS,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO,89059693,OPTATIVO
11,21075,DCA0446,TOPICOS ESPECIAIS EM PROCESSAMENTO DA INFORMACAO,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO,89059693,OPTATIVO
12,21076,DCA0454,REDES NEURAIS ARTIFICIAIS,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO,89059693,OPTATIVO
13,21081,DCA0447,REDES PARA AUTOMACAO INDUSTRIAL,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO,89059693,OPTATIVO
14,21082,DCA0449,TOPICOS ESPECIAIS EM REDES DE COMPUTADORES,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO,89059693,OPTATIVO
15,21084,DCA0445,PROCESSAMENTO DIGITAL DE IMAGENS,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO,89059693,OPTATIVO
16,21087,ELE0515,CIRCUITOS LOGICOS,DEPARTAMENTO DE ENGENHARIA ELÉTRICA,115764587,OPTATIVO
17,21705,DIM0411,PROCESSAMENTO DE IMAGENS,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,105755388,OPTATIVO
18,21717,DIM0415,LOGICAS NAO-CLASSICAS,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101669220,OPTATIVO
19,21717,DIM0415,LOGICAS NAO-CLASSICAS,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101659860,OPTATIVO
20,21717,DIM0415,LOGICAS NAO-CLASSICAS,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,105755388,OPTATIVO
21,21717,DIM0415,LOGICAS NAO-CLASSICAS,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101669382,OPTATIVO
22,21717,DIM0415,LOGICAS NAO-CLASSICAS,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101668583,OPTATIVO
23,21717,DIM0415,LOGICAS NAO-CLASSICAS,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101658777,OPTATIVO
24,21759,DIM0439,TEORIA DA COMPUTACAO,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,115765126,OPTATIVO
25,21759,DIM0439,TEORIA DA COMPUTACAO,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,89059693,OBRIGATÓRIO
26,21764,DIM0410,TREINAMENTO PARA COMPETICOES DE PROGRAMACAO,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101668583,OPTATIVO
27,21764,DIM0410,TREINAMENTO PARA COMPETICOES DE PROGRAMACAO,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101669220,OPTATIVO
28,21764,DIM0410,TREINAMENTO PARA COMPETICOES DE PROGRAMACAO,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101659860,OPTATIVO
29,21764,DIM0410,TREINAMENTO PARA COMPETICOES DE PROGRAMACAO,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,105755388,OPTATIVO
30,21764,DIM0410,TREINAMENTO PARA COMPETICOES DE PROGRAMACAO,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101658777,OPTATIVO
31,21764,DIM0410,TREINAMENTO PARA COMPETICOES DE PROGRAMACAO,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,102200805,OPTATIVO
32,21764,DIM0410,TREINAMENTO PARA COMPETICOES DE PROGRAMACAO,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,89059693,OPTATIVO
33,21764,DIM0410,TREINAMENTO PARA COMPETICOES DE PROGRAMACAO,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101669382,OPTATIVO
34,21771,DIM0431,ORGANIZACAO E ARQUITETURA DE COMPUTADORES,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,102200805,OBRIGATÓRIO
35,21783,DIM0437,LINGUAGENS DE PROGRAMACAO: CONCEITOS E PARADIGMAS,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101658777,OPTATIVO
36,21783,DIM0437,LINGUAGENS DE PROGRAMACAO: CONCEITOS E PARADIGMAS,DEPARTAMENTO DE INFORMÁTICA E MATEMÁTICA APLICADA,101669220,OPTATIVO
