"id_turma";"codigo_turma";"id_docente_interno";"id_docente_externo";"observacao";"id_componente_curricular";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes";
"57562257";"01";"";"109881493";"";"56847";"LATO SENSU";"";"";"2016";"1";"2016-01-04";"2016-02-27";"";"";"";"REGULAR";"t";"2016-05-30 13:42:46.443";"f";"";"0";"CONSOLIDADA";"";"A Distância";
"57562261";"02";"5752206";"";"";"56847";"LATO SENSU";"";"";"2016";"1";"2016-01-04";"2016-02-26";"";"";"";"REGULAR";"t";"2016-05-25 10:05:57.996";"f";"";"0";"CONSOLIDADA";"";"A Distância";
"57562261";"02";"";"109881524";"";"56847";"LATO SENSU";"";"";"2016";"1";"2016-01-04";"2016-02-26";"";"";"";"REGULAR";"t";"2016-05-25 10:05:57.996";"f";"";"0";"CONSOLIDADA";"";"A Distância";
"57562265";"03";"5752206";"";"";"56847";"LATO SENSU";"";"";"2016";"1";"2016-01-04";"2016-02-27";"";"";"";"REGULAR";"t";"2016-06-13 08:59:37.463";"f";"";"0";"CONSOLIDADA";"";"A Distância";
"57562265";"03";"";"110569107";"";"56847";"LATO SENSU";"";"";"2016";"1";"2016-01-04";"2016-02-27";"";"";"";"REGULAR";"t";"2016-06-13 08:59:37.463";"f";"";"0";"CONSOLIDADA";"";"A Distância";
"57562269";"04";"18230";"";"";"56847";"LATO SENSU";"";"";"2016";"1";"2016-01-04";"2016-02-27";"";"";"";"REGULAR";"t";"2016-05-26 13:26:08.9";"f";"";"0";"CONSOLIDADA";"";"A Distância";
"57562275";"05";"5752849";"";"";"56847";"LATO SENSU";"";"";"2016";"1";"2016-01-04";"2016-03-19";"";"";"";"REGULAR";"t";"2016-05-27 11:34:42.187";"f";"";"0";"CONSOLIDADA";"";"A Distância";
"57562279";"06";"5752206";"";"";"56847";"LATO SENSU";"";"";"2016";"1";"2016-01-04";"2016-02-27";"";"";"";"REGULAR";"t";"2016-05-30 09:36:42.751";"f";"";"0";"CONSOLIDADA";"";"A Distância";
"57562279";"06";"";"109881893";"";"56847";"LATO SENSU";"";"";"2016";"1";"2016-01-04";"2016-02-27";"";"";"";"REGULAR";"t";"2016-05-30 09:36:42.751";"f";"";"0";"CONSOLIDADA";"";"A Distância";
"57562348";"07";"5757177";"";"";"56847";"LATO SENSU";"";"";"2016";"1";"2016-01-04";"2016-02-27";"";"";"";"REGULAR";"t";"2016-05-25 10:01:25.439";"f";"";"0";"CONSOLIDADA";"";"A Distância";
"57562348";"07";"5752206";"";"";"56847";"LATO SENSU";"";"";"2016";"1";"2016-01-04";"2016-02-27";"";"";"";"REGULAR";"t";"2016-05-25 10:01:25.439";"f";"";"0";"CONSOLIDADA";"";"A Distância";
"57573186";"01";"23400";"";"";"18651";"TÉCNICO";"";"Sala 21";"2016";"1";"2016-02-01";"2016-06-18";"3T123";"";"3";"REGULAR";"f";"2016-06-16 22:47:51.156";"f";"";"0";"CONSOLIDADA";"";"Presencial";
"57573187";"01";"26652";"";"";"18814";"TÉCNICO";"";"Sala 23";"2016";"1";"2016-02-01";"2016-06-18";"4T1234";"";"50";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial";
"57573188";"01";"22886";"";"";"18653";"TÉCNICO";"";"Sala 03";"2016";"1";"2016-02-01";"2016-06-18";"4T123";"2";"3";"REGULAR";"f";"2016-06-17 19:53:03.39";"f";"";"54";"CONSOLIDADA";"";"Presencial";
"57573189";"02";"22886";"";"Canto Popular";"18653";"TÉCNICO";"";"Sala 03";"2016";"1";"2016-02-01";"2016-06-18";"4T456";"3";"3";"REGULAR";"f";"2016-06-20 10:12:35.45";"f";"";"54";"CONSOLIDADA";"";"Presencial";
"57573190";"03";"23400";"";"";"18653";"TÉCNICO";"";"Sala 21";"2016";"1";"2016-02-01";"2016-06-18";"3T456";"1";"3";"REGULAR";"f";"2016-06-16 22:52:33.975";"f";"";"0";"CONSOLIDADA";"";"Presencial";
"57573191";"01";"35466";"";"";"18732";"TÉCNICO";"";"Sala21";"2016";"1";"2016-02-01";"2016-06-18";"6T123";"";"3";"REGULAR";"f";"2016-06-22 14:35:06.616";"f";"";"33";"CONSOLIDADA";"";"Presencial";
"57573192";"02";"35466";"";"";"18732";"TÉCNICO";"";"Sala 03";"2016";"1";"2016-02-01";"2016-06-18";"3T123";"1";"3";"REGULAR";"f";"2016-06-22 14:36:06.694";"f";"";"0";"CONSOLIDADA";"";"Presencial";
"57573193";"03";"23400";"";"";"18732";"TÉCNICO";"";"Sala 21";"2016";"1";"2016-02-01";"2016-06-18";"5T123";"1";"3";"REGULAR";"f";"2016-06-16 22:54:39.817";"f";"";"0";"CONSOLIDADA";"";"Presencial";
"57573194";"04";"35466";"";"";"18732";"TÉCNICO";"";"Sala 21";"2016";"1";"2016-02-01";"2016-06-18";"5T456";"2";"3";"REGULAR";"f";"2016-06-22 14:33:53.254";"f";"";"3";"CONSOLIDADA";"";"Presencial";
"57573196";"01";"5751745";"";"";"18798";"TÉCNICO";"";"Sala 18";"2016";"1";"2016-02-01";"2016-06-18";"3T456";"0";"3";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial";
"57573197";"01";"5752179";"";"Prioridade: Alunos de Gravação";"18818";"TÉCNICO";"";"LAMUCO";"2016";"1";"2016-02-01";"2016-06-18";"5T1234";"4";"7";"REGULAR";"f";"2016-06-06 07:14:01.686";"f";"";"54";"CONSOLIDADA";"";"Presencial";
"57573198";"01";"5756964";"";"";"18810";"TÉCNICO";"";"Sala 24";"2016";"1";"2016-02-01";"2016-06-18";"6T56";"16";"40";"REGULAR";"f";"2016-06-17 14:04:52.179";"f";"";"26";"CONSOLIDADA";"";"Presencial";
"57573199";"01";"5757767";"";"";"18773";"TÉCNICO";"";"Sala 23";"2016";"1";"2016-02-01";"2016-06-18";"3T34";"25";"16";"REGULAR";"f";"2016-06-23 14:45:15.367";"f";"";"22";"CONSOLIDADA";"";"Presencial";
"57573201";"02";"5752921";"";"";"18814";"TÉCNICO";"";"Sala 23";"2016";"1";"2016-02-01";"2016-06-18";"2T1234";"";"50";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial";
"57573202";"01";"5757767";"";"";"18760";"TÉCNICO";"";"Sala 11";"2016";"1";"2016-02-01";"2016-06-18";"6T34";"16";"40";"REGULAR";"f";"2016-06-23 14:46:29.684";"f";"";"26";"CONSOLIDADA";"";"Presencial";
"57573203";"02";"5757767";"";"";"18760";"TÉCNICO";"";"Sala 23";"2016";"1";"2016-02-01";"2016-06-18";"3T12";"30";"40";"REGULAR";"f";"2016-06-23 14:51:27.74";"f";"";"22";"CONSOLIDADA";"";"Presencial";
"57573204";"01";"5758240";"";"";"18812";"TÉCNICO";"";"Sala 06";"2016";"1";"2016-02-01";"2016-06-18";"5T123";"2";"3";"REGULAR";"f";"2016-06-18 20:46:31.35";"f";"";"51";"CONSOLIDADA";"";"Presencial";
"57573205";"02";"17295";"";"";"18812";"TÉCNICO";"";"Sala 06";"2016";"1";"2016-02-01";"2016-06-18";"2T456";"";"3";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial";
"57573206";"03";"23477";"";"";"18812";"TÉCNICO";"";"Sala 05";"2016";"1";"2016-02-01";"2016-06-18";"3T123";"1";"3";"REGULAR";"f";"2016-06-20 21:25:59.886";"f";"";"57";"CONSOLIDADA";"";"Presencial";
"57573207";"04";"21705";"";"";"18812";"TÉCNICO";"";"Sala 20";"2016";"1";"2016-02-01";"2016-06-18";"3T123";"1";"3";"REGULAR";"f";"2016-06-23 15:17:58.305";"f";"";"54";"CONSOLIDADA";"";"Presencial";
"57573208";"05";"5754083";"";"";"18812";"TÉCNICO";"";"Sala 15";"2016";"1";"2016-02-01";"2016-06-18";"5M123";"2";"3";"REGULAR";"f";"2016-06-20 08:33:52.615";"f";"";"45";"CONSOLIDADA";"";"Presencial";
"57573209";"06";"5754083";"";"";"18812";"TÉCNICO";"";"Sala 15";"2016";"1";"2016-02-01";"2016-06-18";"5M456";"3";"3";"REGULAR";"f";"2016-06-20 15:47:32.887";"f";"";"48";"CONSOLIDADA";"";"Presencial";
"57573210";"07";"63717";"";"";"18812";"TÉCNICO";"";"Sala 'Q'";"2016";"1";"2016-02-01";"2016-06-18";"4T123";"4";"2";"REGULAR";"f";"2016-06-17 11:21:59.086";"f";"";"57";"CONSOLIDADA";"";"Presencial";
"57573211";"08";"63717";"";"";"18812";"TÉCNICO";"";"Sala 'Q'";"2016";"1";"2016-02-01";"2016-06-18";"5T456";"";"2";"REGULAR";"f";"2016-06-17 11:24:14.04";"f";"";"51";"CONSOLIDADA";"";"Presencial";
"57573212";"09";"5752878";"";"";"18812";"TÉCNICO";"";"Sala 07";"2016";"1";"2016-02-01";"2016-06-18";"4T123";"1";"3";"REGULAR";"f";"2016-06-17 18:51:54.646";"f";"";"54";"CONSOLIDADA";"";"Presencial";
"57573213";"10";"5752921";"";"";"18812";"TÉCNICO";"";"Sala 'N'";"2016";"1";"2016-02-01";"2016-06-18";"3T123";"1";"3";"REGULAR";"f";"2016-06-16 11:20:57.559";"f";"";"0";"CONSOLIDADA";"";"Presencial";
"57573214";"11";"21708";"";"";"18812";"TÉCNICO";"";"Sala 'M'";"2016";"1";"2016-02-01";"2016-06-18";"5T456";"2";"3";"REGULAR";"f";"2016-05-24 05:01:57.298";"f";"";"42";"CONSOLIDADA";"";"Presencial";
"57573215";"12";"24189";"";"";"18812";"TÉCNICO";"";"Sala 'S'";"2016";"1";"2016-02-01";"2016-06-18";"4T123";"";"3";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial";
"57573216";"13";"24189";"";"";"18812";"TÉCNICO";"";"Sala 'S'";"2016";"1";"2016-02-01";"2016-06-18";"5T123";"4";"3";"REGULAR";"f";"2016-06-17 07:13:00.879";"f";"";"51";"CONSOLIDADA";"";"Presencial";
"57573217";"14";"24189";"";"";"18812";"TÉCNICO";"";"Sala 'S'";"2016";"1";"2016-02-01";"2016-06-18";"5T456";"0";"3";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial";
"57573218";"15";"5756964";"";"";"18812";"TÉCNICO";"";"Sala 'P'";"2016";"1";"2016-02-01";"2016-06-18";"4T123";"3";"3";"REGULAR";"f";"2016-06-17 14:11:13.679";"f";"";"54";"CONSOLIDADA";"";"Presencial";
"57573219";"16";"5757246";"";"";"18812";"TÉCNICO";"";"Sala 'N'";"2016";"1";"2016-02-01";"2016-06-18";"2T123";"1";"3";"REGULAR";"f";"2016-06-20 10:00:19.933";"f";"";"57";"CONSOLIDADA";"";"Presencial";
"57573220";"17";"22889";"";"";"18812";"TÉCNICO";"";"Sala 08";"2016";"1";"2016-02-01";"2016-06-18";"5T123";"1";"3";"REGULAR";"f";"2016-06-24 18:40:27.748";"f";"";"51";"CONSOLIDADA";"";"Presencial";
"57573221";"18";"22889";"";"";"18812";"TÉCNICO";"";"Sala 08";"2016";"1";"2016-02-01";"2016-06-18";"5T456";"2";"3";"REGULAR";"f";"2016-06-22 20:17:03.694";"f";"";"51";"CONSOLIDADA";"";"Presencial";
"57573222";"19";"5758038";"";"";"18812";"TÉCNICO";"";"MINI AUDITÓRIO";"2016";"1";"2016-02-01";"2016-06-18";"2T123";"1";"3";"REGULAR";"f";"2016-06-23 10:42:51.646";"f";"";"42";"CONSOLIDADA";"";"Presencial";
"57573223";"20";"5752936";"";"";"18812";"TÉCNICO";"";"Sala 'E'";"2016";"1";"2016-02-01";"2016-06-18";"4T123";"2";"3";"REGULAR";"f";"2016-06-01 15:23:12.274";"f";"";"48";"CONSOLIDADA";"";"Presencial";
"57573224";"21";"24200";"";"";"18812";"TÉCNICO";"";"Sala 26";"2016";"1";"2016-02-01";"2016-06-18";"5T456";"3";"3";"REGULAR";"f";"2016-06-19 19:10:06.741";"f";"";"48";"CONSOLIDADA";"";"Presencial";
"57573225";"22";"5751745";"";"";"18812";"TÉCNICO";"";"Sala 18";"2016";"1";"2016-02-01";"2016-06-18";"3T123";"2";"3";"REGULAR";"f";"2016-06-08 21:30:04.735";"f";"";"54";"CONSOLIDADA";"";"Presencial";
"57573227";"23";"5757134";"";"";"18812";"TÉCNICO";"";"Sala 17";"2016";"1";"2016-02-01";"2016-06-18";"5T123";"1";"3";"REGULAR";"f";"2016-06-23 15:01:22.902";"f";"";"51";"CONSOLIDADA";"";"Presencial";
"57573228";"24";"5757838";"";"";"18812";"TÉCNICO";"";"Sala 26";"2016";"1";"2016-02-01";"2016-06-18";"4T123";"";"3";"REGULAR";"f";"2016-06-22 16:09:31.478";"f";"";"57";"CONSOLIDADA";"";"Presencial";
"57573229";"25";"5757838";"";"";"18812";"TÉCNICO";"";"Sala 26";"2016";"1";"2016-02-01";"2016-06-18";"4T456";"";"3";"REGULAR";"f";"2016-06-22 16:10:42.699";"f";"";"57";"CONSOLIDADA";"";"Presencial";
"57573230";"26";"5753085";"";"";"18812";"TÉCNICO";"";"Sala 12";"2016";"1";"2016-02-01";"2016-06-18";"5T123";"1";"3";"REGULAR";"f";"2016-06-08 12:11:58.918";"f";"";"45";"CONSOLIDADA";"";"Presencial";
"57573231";"27";"3588457";"";"";"18812";"TÉCNICO";"";"Sala 'M'";"2016";"1";"2016-02-01";"2016-06-18";"4T123";"3";"3";"REGULAR";"f";"2016-06-24 19:55:04.177";"f";"";"57";"CONSOLIDADA";"";"Presencial";
"57573232";"28";"3588457";"";"";"18812";"TÉCNICO";"";"Sala 'M'";"2016";"1";"2016-02-01";"2016-06-18";"4T456";"0";"3";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial";
"57573233";"29";"3031587";"";"";"18812";"TÉCNICO";"";"Sala 'T'";"2016";"1";"2016-02-01";"2016-06-18";"4T123";"1";"3";"REGULAR";"f";"2016-06-23 15:43:16.228";"f";"";"54";"CONSOLIDADA";"";"Presencial";
"57573234";"30";"5757639";"";"";"18812";"TÉCNICO";"";"Sala 14";"2016";"1";"2016-02-01";"2016-06-18";"3T456";"";"3";"REGULAR";"f";"2016-06-24 14:29:42.026";"f";"";"57";"CONSOLIDADA";"";"Presencial";
"57573235";"31";"5752924";"";"";"18812";"TÉCNICO";"";"Sala 12";"2016";"1";"2016-02-01";"2016-06-18";"3T123";"0";"3";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial";
"57573236";"32";"5752936";"";"";"18812";"TÉCNICO";"";"Sala 'E'";"2016";"1";"2016-02-01";"2016-06-18";"5T456";"";"3";"REGULAR";"f";"2016-06-02 14:34:09.981";"f";"";"48";"CONSOLIDADA";"";"Presencial";
"57573237";"33";"5758038";"";"";"18812";"TÉCNICO";"";"Sala "A";"2016";"1";"2016-02-01";"2016-06-18";"4T123";"2";"3";"REGULAR";"f";"2016-06-23 10:27:19.086";"f";"";"0";"CONSOLIDADA";"";"Presencial";
"57573238";"34";"19101";"";"";"18812";"TÉCNICO";"";"Sala 'M'";"2016";"1";"2016-02-01";"2016-06-18";"6M456";"1";"3";"REGULAR";"f";"2016-06-22 06:46:24.833";"f";"";"0";"CONSOLIDADA";"";"Presencial";
"57573239";"35";"5754083";"";"";"18812";"TÉCNICO";"";"Sala 15";"2016";"1";"2016-02-01";"2016-06-18";"3M123";"";"3";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial";
"57573240";"01";"5754083";"";"";"18799";"TÉCNICO";"";"Sala 15";"2016";"1";"2016-02-01";"2016-06-18";"3M123";"2";"3";"REGULAR";"f";"2016-06-20 08:36:54.766";"f";"";"57";"CONSOLIDADA";"";"Presencial";
"57573242";"02";"22876";"";"";"18799";"TÉCNICO";"";"Sala 'R'";"2016";"1";"2016-02-01";"2016-06-18";"5T123";"1";"3";"REGULAR";"f";"2016-06-23 09:42:04.62";"f";"";"51";"CONSOLIDADA";"";"Presencial";
