,id_componente,codigo,nome,departamento
192,20005,DCA0451,COMPUTACAO NUMERICA,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO
193,20006,DCA0416,SISTEMAS ESPECIALISTAS APLICADOS A AUTOMACAO,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO
199,20012,DCA0404,ARQUITETURA DE COMPUTADORES,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO
200,20013,DCA0418,SUPERVISAO E CONTROLE OPERACIONAL DE SISTEMAS,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO
201,20014,DCA0443,CONTROLADORES LOGICOS PROGRAMAVEIS,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO
202,20015,DCA0420,LINGUAGEM DE DESCRICAO DE HARDWARE,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO
216,20029,DCA0414,INTRODUCAO A ROBOTICA,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO
217,20030,DCA0441,TOPICOS ESPECIAIS EM ROBOTICA,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO
218,20031,DCA0440,SISTEMAS ROBOTICOS AUTONOMOS,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO
219,20032,DCA0435,COMPUTACAO GRAFICA,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO
221,20034,DCA0304,METODOS COMPUTACIONAIS EM ENGENHARIA,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO
1222,21072,DCA0450,REDES DE COMPUTADORES,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO
1224,21074,DCA0448,SISTEMAS PARALELOS E DISTRIBUIDOS,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO
1225,21075,DCA0446,TOPICOS ESPECIAIS EM PROCESSAMENTO DA INFORMACAO,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO
1226,21076,DCA0454,REDES NEURAIS ARTIFICIAIS,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO
1227,21077,DCA0431,TEORIA DE CIRCUITOS,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO
1228,21078,DCA0436,SISTEMAS DE CONTROLE,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO
1229,21079,DCA0452,CONTROLE DIGITAL,DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO
