id_turma;qnt_disc;qnt_aprovados;qnt_reprovados;qnt_trancamento;media_turma;media_faltas;qnt_reposicao
57573481;112;77.0;32.0;3.0;5.649999999999998;1.375;3.0
57573482;129;76.0;49.0;4.0;4.831782945736434;0.0;3.0
57573483;124;78.0;41.0;5.0;5.333870967741935;0.7903225806451613;9.0
57573484;114;40.0;65.0;9.0;3.1508771929824566;0.0;10.0
57573485;103;25.0;68.0;10.0;2.5436893203883506;0.0;10.0
57573486;42;11.0;30.0;1.0;2.5023809523809524;3.9047619047619047;3.0
57573488;41;2.0;31.0;8.0;1.0512195121951222;9.804878048780488;0.0
57573496;73;22.0;44.0;7.0;3.427397260273973;21.616438356164384;3.0
57573499;19;13.0;5.0;1.0;4.468421052631579;19.05263157894737;0.0
57573500;23;12.0;9.0;2.0;4.847826086956522;11.304347826086957;0.0
57573501;26;19.0;6.0;1.0;5.892307692307692;7.846153846153846;0.0
57573502;26;17.0;7.0;2.0;5.25;9.846153846153847;0.0
57573503;25;17.0;7.0;1.0;5.216000000000001;15.76;0.0
57573505;23;17.0;3.0;3.0;5.908695652173913;12.26086956521739;1.0
57573506;27;23.0;3.0;1.0;6.2444444444444445;8.74074074074074;1.0
57573507;25;16.0;9.0;0.0;5.196000000000001;11.04;0.0
57573508;26;17.0;8.0;1.0;5.242307692307692;11.846153846153847;1.0
57573509;27;17.0;9.0;1.0;4.707407407407406;13.703703703703704;0.0
57573511;24;15.0;9.0;0.0;5.2124999999999995;14.75;1.0
57573512;25;19.0;5.0;1.0;5.268;13.2;1.0
57573513;23;15.0;7.0;1.0;5.186956521739131;13.73913043478261;0.0
57573518;25;11.0;11.0;3.0;3.7560000000000002;0.0;1.0
57573519;22;5.0;15.0;2.0;2.8636363636363638;0.0;2.0
57573520;21;5.0;13.0;3.0;2.4714285714285715;0.0;0.0
57573522;18;7.0;9.0;2.0;3.0944444444444446;0.0;0.0
57573524;14;5.0;8.0;1.0;2.878571428571429;26.428571428571427;0.0
57573525;26;18.0;8.0;0.0;5.63076923076923;14.0;2.0
57573529;98;80.0;17.0;1.0;5.871428571428574;6.448979591836735;3.0
57573530;123;103.0;16.0;4.0;6.038211382113822;5.382113821138211;1.0
57573531;119;92.0;23.0;4.0;5.252100840336132;6.495798319327731;9.0
57573532;73;48.0;21.0;4.0;5.52191780821918;7.726027397260274;0.0
57573533;74;57.0;10.0;7.0;5.582432432432433;8.013513513513514;5.0
57573534;81;50.0;25.0;6.0;4.775308641975308;11.296296296296296;2.0
57573535;120;103.0;13.0;4.0;6.545;5.016666666666667;1.0
57573536;135;96.0;29.0;10.0;5.349629629629628;6.696296296296296;0.0
57573537;128;95.0;28.0;5.0;5.895312500000001;6.109375;7.0
57573538;82;54.0;23.0;5.0;4.864634146341465;10.195121951219512;0.0
57573539;88;53.0;26.0;9.0;4.375;10.420454545454545;4.0
57573540;95;55.0;32.0;8.0;4.787368421052631;9.2;7.0
57573548;1;1.0;0.0;0.0;5.0;0.0;0.0
57573549;4;4.0;0.0;0.0;6.725;1.5;0.0
57573558;1;0.0;1.0;0.0;4.5;14.0;0.0
57573581;77;23.0;43.0;11.0;2.4974025974025977;29.038961038961038;8.0
57573582;83;24.0;48.0;11.0;2.8963855421686744;22.457831325301203;6.0
57573583;114;72.0;35.0;7.0;4.488596491228072;0.8947368421052632;9.0
57573584;74;37.0;28.0;9.0;3.5959459459459455;9.243243243243244;9.0
57573585;61;18.0;36.0;7.0;2.3393442622950826;35.950819672131146;7.0
57573586;67;55.0;12.0;0.0;6.282089552238808;1.5522388059701493;2.0
57573587;35;12.0;21.0;2.0;3.574285714285713;0.0;2.0
