"id_curriculo";"codigo";"nome_matriz";"id_curso";"nome_curso";"semestre_conclusao_minimo";"semestre_conclusao_ideal";"semestre_conclusao_maximo";"meses_conclusao_minimo";"meses_conclusao_ideal";"meses_conclusao_maximo";"cr_total_minimo";"ch_total_minima";"ch_optativas_minima";"ch_complementar_minima";"max_eletivos";"ch_nao_atividade_obrigatoria";"cr_nao_atividade_obrigatorio";"ch_atividade_obrigatoria";"cr_minimo_semestre";"cr_ideal_semestre";"cr_maximo_semestre";"ch_minima_semestre";"ch_ideal_semestre";"ch_maxima_semestre";"periodo_entrada_vigor";"ano_entrada_vigor";"observacao";
"110541959";"01B";"PSICOLOGIA - SANTA CRUZ - MT - BACHARELADO";"102160763";"PSICOLOGIA";"10";"10";"15";"";"";"";"147";"4050";"405";"210";"240";"2535";"147";"900";"22";"25";"31";"330";"";"465";"1";"2015";"";
"95617859";"01";"GESTÃO PÚBLICA - CAICÓ - I - TECNOLÓGICO";"92017023";"GESTÃO PÚBLICA";"5";"5";"6";"";"";"";"114";"1710";"0";"0";"240";"1710";"114";"0";"6";"24";"26";"240";"";"0";"1";"2013";"";
"98672530";"PLETCN1";"";"98199604";"MESTRADO PROFISSIONAL EM LETRAS - PROFLETRAS/CN";"12";"24";"30";"12";"24";"30";"9";"420";"135";"";"0";"285";"0";"0";"2";"12";"20";"0";"";"";"1";"2013";"";
"140061";"PE";"";"315785";"MESTRADO EM MATEMÁTICA APLICADA E ESTATÍSTICA";"12";"24";"30";"12";"24";"30";"24";"360";"120";"";"240";"240";"16";"0";"2";"12";"16";"1";"0";"";"2";"2006";"";
"106797125";"mpart1";"";"106146377";"MESTRADO PROFISSIONAL EM ENSINO DE ARTES - PROFARTES";"12";"24";"30";"12";"24";"30";"8";"420";"120";"";"0";"300";"0";"0";"1";"12";"24";"0";"";"";"2";"2014";"";
"84763119";"MRN1";"";"84739892";"MESTRADO PROFISSIONAL EM MATEMÁTICA EM REDE NACIONAL";"12";"24";"30";"12";"24";"30";"16";"1200";"240";"";"0";"960";"0";"0";"1";"15";"30";"1";"";"";"1";"2011";"";
"11431031";"08";"";"97472250";"ZZZ MEST";"12";"24";"30";"12";"24";"30";"13";"195";"0";"";"240";"195";"13";"0";"1";"15";"30";"15";"";"";"1";"2009";"";
"121644898";"tm3";"";"88211810";"MESTRADO PROFISSIONAL EM SAÚDE DA FAMÍLIA";"12";"24";"30";"12";"24";"30";"0";"565";"0";"";"0";"565";"0";"0";"";"";"";"0";"";"";"2";"2017";"";
"119466854";"ECNM2";"";"315756";"MESTRADO PROFISSIONAL EM ENSINO DE CIÊNCIAS NATURAIS E MATEMÁTICA";"12";"24";"30";"12";"24";"30";"28";"465";"240";"";"0";"180";"12";"45";"";"";"";"1";"";"";"2";"2016";"";
"119342519";"ETIM001";"";"119342264";"MESTRADO PROFISSIONAL EM EDUCAÇÃO, TRABALHO E INOVAÇÃO EM MEDICINA";"12";"24";"30";"12";"24";"30";"21";"315";"90";"";"0";"225";"15";"0";"";"";"";"0";"";"";"2";"2016";"";
"51333655";"01F";"ARTES VISUAIS - NATAL - MT - LICENCIATURA";"2000123";"ARTES VISUAIS";"8";"8";"12";"";"";"";"103";"2970";"720";"0";"240";"1545";"103";"705";"7";"24";"28";"105";"";"0";"1";"2011";"";
"140013";"02";"";"315768";"MESTRADO EM BIOECOLOGIA AQUÁTICA";"12";"24";"30";"12";"24";"30";"18";"270";"0";"";"240";"270";"18";"0";"2";"18";"23";"1";"0";"";"1";"2005";"";
"90774212";"MEST02";"";"315781";"MESTRADO EM DESENVOLVIMENTO E MEIO AMBIENTE";"12";"24";"30";"12";"24";"30";"13";"226";"1";"";"0";"225";"13";"0";"1";"12";"24";"1";"";"";"2";"2012";"";
"126121649";"2018";"";"5036031";"RESIDÊNCIA MÉDICA EM ENDOCRINOLOGIA";"";"";"";"";"";"";"0";"6240";"0";"";"0";"0";"0";"0";"";"";"";"0";"";"";"1";"2018";"";
"124868739";"MEST17";"";"123079207";"MESTRADO EM ENSINO DE CIÊNCIAS E MATEMÁTICA";"12";"24";"30";"12";"24";"30";"16";"240";"0";"";"0";"240";"16";"0";"";"";"";"0";"";"";"2";"2017";"";
"122836042";"PAT_17D";"";"315734";"DOUTORADO EM PATOLOGIA ORAL";"24";"48";"54";"24";"48";"54";"0";"405";"0";"";"0";"405";"0";"0";"";"";"";"0";"";"";"1";"2017";"";
"121876517";"MPPSE1";"";"121875454";"MESTRADO PROFISSIONAL EM PRÁTICAS DE SAÚDE E EDUCAÇÃO";"12";"24";"30";"12";"24";"30";"3";"360";"45";"";"0";"315";"0";"0";"";"";"";"0";"";"";"1";"2017";"";
"122541685";"MPES2";"";"100181629";"MESTRADO PROFISSIONAL EM ENGENHARIA DE SOFTWARE";"12";"24";"36";"12";"24";"36";"24";"360";"240";"";"0";"120";"8";"0";"";"";"";"0";"";"";"1";"2017";"";
"104128179";"01D";"GESTÃO DE POLÍTICAS PÚBLICAS - NATAL - N - BACHARELADO";"10426760";"GESTÃO DE POLÍTICAS PÚBLICAS";"6";"6";"9";"";"";"";"0";"2410";"1215";"400";"240";"0";"0";"795";"1";"22";"30";"150";"";"0";"2";"2014";"";
"121631446";"05A";"ADMINISTRAÇÃO - CURRAIS NOVOS - TN - BACHARELADO";"2000004";"ADMINISTRAÇÃO";"9";"9";"14";"";"";"";"160";"3090";"360";"155";"240";"2400";"160";"175";"";"";"";"60";"";"0";"1";"2017";"";
"121627123";"ITE17";"";"121508460";"MESTRADO PROFISSIONAL EM INOVAÇÃO EM TECNOLOGIAS EDUCACIONAIS";"12";"24";"30";"12";"24";"30";"12";"360";"180";"";"0";"180";"0";"0";"";"";"";"0";"";"";"1";"2017";"";
